fip,state,pop,x,y,city
57213,SD,370,-96.541634,44.573515,ASTORIA
65486,MO,3704,-92.298897,38.121926,IBERIA
19540,PA,8402,-75.98332,40.258442,MOHNTON
57116,SD,426,-96.766199,43.508535,SIOUX FALLS
60108,IL,16560,-88.07824,41.94827,BLOOMINGDALE
57076,SD,424,-97.309266,43.959511,WINFRED
94542,CA,11165,-122.047236,37.658566,HAYWARD
57074,SD,120,-96.481325,44.155883,WARD
13301,NY,74,-75.213748,43.415659,ALDER CREEK
57073,SD,938,-97.069374,42.996001,WAKONDA
97321,OR,42908,-123.094409,44.627722,ALBANY
84105,UT,22228,-111.858087,40.737236,SALT LAKE CITY
27615,NC,29771,-78.639277,35.888744,RALEIGH
42159,KY,2879,-86.285934,37.007595,OAKLAND
57072,SD,782,-97.228231,42.969617,VOLIN
57068,SD,1709,-96.495637,43.577306,VALLEY SPRINGS
57063,SD,853,-97.692282,42.938262,TABOR
57062,SD,2044,-97.928825,42.868694,SPRINGFIELD
57061,SD,296,-97.054332,44.239745,SINAI
57053,SD,1494,-97.133298,43.40204,PARKER
38131,TN,312,-90.003699,35.0655,MEMPHIS
57049,SD,2491,-96.50761,42.532706,DAKOTA DUNES
73159,OK,21343,-97.55674,35.39224,OKLAHOMA CITY
57047,SD,239,-97.218167,43.477883,MONROE
57045,SD,1337,-97.564986,43.233968,MENNO
25048,WV,405,-81.443699,37.949166,COLCORD
57043,SD,1377,-97.277066,43.41878,MARION
57042,SD,7745,-97.11486,44.005434,MADISON
62037,IL,2036,-90.432335,39.002134,GRAFTON
46979,IN,1724,-86.267467,40.415086,RUSSIAVILLE
57040,SD,680,-97.548282,43.054976,LESTERVILLE
57039,SD,2852,-96.882061,43.345066,LENNOX
57038,SD,1262,-96.578392,42.601341,JEFFERSON
88317,NM,4482,-105.939028,32.574067,CLOUDCROFT
60901,IL,35952,-87.869607,41.116582,KANKAKEE
57034,SD,774,-96.53063,43.128357,HUDSON
57032,SD,3387,-96.686389,43.446021,HARRISBURG
67449,KS,4145,-97.015491,38.702306,DELAVAN
57029,SD,2190,-97.460073,43.360501,FREEMAN
57028,SD,3851,-96.622184,44.06578,FLANDREAU
57027,SD,472,-96.574261,43.208965,FAIRVIEW
57024,SD,658,-96.649252,43.986592,EGAN
57022,SD,3128,-96.722315,43.822759,DELL RAPIDS
46319,IN,19758,-87.422837,41.53352,GRIFFITH
69120,NE,1099,-100.156731,41.445583,ARNOLD
57020,SD,1262,-96.818259,43.64509,CROOKS
57016,SD,799,-96.975883,43.898077,CHESTER
57013,SD,3210,-96.593796,43.303819,CANTON
49070,MI,2366,-85.610646,42.548321,MARTIN
76941,TX,1451,-100.822101,31.282884,MERTZON
66064,KS,5887,-94.96199,38.488803,OSAWATOMIE
32625,FL,1173,-83.016793,29.171006,CEDAR KEY
57005,SD,4155,-96.578201,43.596413,CORSON
57002,SD,1252,-96.704268,44.283786,AURORA
56054,MN,2268,-94.436463,44.407315,LAFAYETTE
57001,SD,2064,-96.633243,43.004726,ALCESTER
15477,PA,802,-79.865617,40.078686,ROSCOE
56762,MN,2404,-96.759702,48.20784,RADIUM
99223,WA,19056,-117.362215,47.61558,SPOKANE
56761,MN,684,-95.7072,48.64515,WANNASKA
56756,MN,478,-95.535594,48.852213,SALOL
64071,MO,746,-93.835306,39.045898,MAYVIEW
56751,MN,5473,-95.756709,48.826809,PENCER
92411,CA,22994,-117.317158,34.121414,SAN BERNARDINO
56750,MN,2700,-96.268097,47.882285,RED LAKE FALLS
71232,LA,6657,-91.512487,32.450433,WARDEN
97814,OR,10024,-117.828631,44.780102,MEDICAL SPRINGS
19945,DE,5500,-75.200633,38.51767,FRANKFORD
56748,MN,847,-95.964558,47.911324,PLUMMER
01950,MA,16317,-70.884668,42.812964,NEWBURYPORT
72466,AR,427,-91.274456,36.090815,SMITHVILLE
14025,NY,2617,-78.73909,42.631384,BOSTON
56742,MN,628,-95.861693,47.82861,OKLEE
13469,NY,567,-75.289854,43.222889,STITTVILLE
